Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;População Total 2020;Classes de tamanho;Sequência das Classes
3549201;São João das Duas Pontes;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.476 ;Até 10.000;1
3549250;São João de Iracema;RA de Araçatuba;1;15;São José do Rio Preto; 1.850 ;Até 10.000;1
3549300;São João do Pau d'Alho;RA de Presidente Prudente;9;2;Presidente Prudente; 1.985 ;Até 10.000;1
3549409;São Joaquim da Barra;RA de Franca;6;4;Franca; 50.274 ;De 50.001 a 100.000;3
3549508;São José da Bela Vista;RA de Franca;6;4;Franca; 8.727 ;Até 10.000;1
3549607;São José do Barreiro;RA de São José dos Campos;15;17;Taubaté; 4.070 ;Até 10.000;1
3549706;São José do Rio Pardo;RA de Campinas;4;14;São João da Boa Vista; 53.206 ;De 50.001 a 100.000;3
3549805;São José do Rio Preto;RA de São José do Rio Preto;14;15;São José do Rio Preto; 447.924 ;De 100.001 a 500.000;4
3549904;São José dos Campos;RA de São José dos Campos;15;17;Taubaté; 710.654 ;Mais de 500.000;5
3549953;São Lourenço da Serra;RM de São Paulo;10;10;Grande São Paulo; 15.579 ;De 10.001 a 50.000;2
3550001;São Luiz do Paraitinga;RA de São José dos Campos;15;17;Taubaté; 10.569 ;De 10.001 a 50.000;2
3550100;São Manuel;RA de Sorocaba;13;12;Bauru; 39.574 ;De 10.001 a 50.000;2
3550209;São Miguel Arcanjo;RA de Sorocaba;13;6;Sorocaba; 32.000 ;De 10.001 a 50.000;2
3550308;São Paulo;RM de São Paulo;10;10;Grande São Paulo; 11.869.660 ;Mais de 500.000;5
3550407;São Pedro;RA de Campinas;4;11;Piracicaba; 34.208 ;De 10.001 a 50.000;2
3550506;São Pedro do Turvo;RA de Marília;8;5;Marília; 7.369 ;Até 10.000;1
3550605;São Roque;RA de Sorocaba;13;6;Sorocaba; 87.435 ;De 50.001 a 100.000;3
3550704;São Sebastião;RA de São José dos Campos;15;17;Taubaté; 87.135 ;De 50.001 a 100.000;3
3550803;São Sebastião da Grama;RA de Campinas;4;14;São João da Boa Vista; 11.936 ;De 10.001 a 50.000;2
3550902;São Simão;RA de Ribeirão Preto;11;1;Ribeirão Preto; 14.847 ;De 10.001 a 50.000;2
3551009;São Vicente;RA de Santos;12;13;Baixada Santista; 357.929 ;De 100.001 a 500.000;4
3551108;Sarapuí;RA de Sorocaba;13;6;Sorocaba; 10.110 ;De 10.001 a 50.000;2
3551207;Sarutaiá;RA de Itapeva;7;12;Bauru; 3.646 ;Até 10.000;1
3551306;Sebastianópolis do Sul;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.293 ;Até 10.000;1
3551405;Serra Azul;RA de Ribeirão Preto;11;1;Ribeirão Preto; 12.282 ;De 10.001 a 50.000;2
3551504;Serrana;RA de Ribeirão Preto;11;1;Ribeirão Preto; 44.434 ;De 10.001 a 50.000;2
3551603;Serra Negra;RA de Campinas;4;3;Campinas; 27.440 ;De 10.001 a 50.000;2
3551702;Sertãozinho;RA de Ribeirão Preto;11;1;Ribeirão Preto; 122.355 ;De 100.001 a 500.000;4
3551801;Sete Barras;RA de Registro;16;9;Registro; 12.628 ;De 10.001 a 50.000;2
3551900;Severínia;RA de Barretos;2;16;Barretos; 17.126 ;De 10.001 a 50.000;2
3552007;Silveiras;RA de São José dos Campos;15;17;Taubaté; 6.204 ;Até 10.000;1
3552106;Socorro;RA de Campinas;4;3;Campinas; 38.783 ;De 10.001 a 50.000;2
3552205;Sorocaba;RA de Sorocaba;13;6;Sorocaba; 658.547 ;Mais de 500.000;5
3552304;Sud Mennucci;RA de Araçatuba;1;7;Araçatuba; 7.713 ;Até 10.000;1
3552403;Sumaré;RA de Campinas;4;3;Campinas; 283.212 ;De 100.001 a 500.000;4
3552502;Suzano;RM de São Paulo;10;10;Grande São Paulo; 291.002 ;De 100.001 a 500.000;4
3552551;Suzanápolis;RA de Araçatuba;1;7;Araçatuba; 3.947 ;Até 10.000;1
3552601;Tabapuã;RA de São José do Rio Preto;14;15;São José do Rio Preto; 11.892 ;De 10.001 a 50.000;2
3552700;Tabatinga;RA Central;5;8;Araraquara; 15.897 ;De 10.001 a 50.000;2
3552809;Taboão da Serra;RM de São Paulo;10;10;Grande São Paulo; 283.871 ;De 100.001 a 500.000;4
3552908;Taciba;RA de Presidente Prudente;9;2;Presidente Prudente; 6.054 ;Até 10.000;1
3553005;Taguaí;RA de Itapeva;7;12;Bauru; 13.319 ;De 10.001 a 50.000;2
3553104;Taiaçu;RA de Barretos;2;16;Barretos; 6.037 ;Até 10.000;1
3553203;Taiúva;RA de Barretos;2;16;Barretos; 6.278 ;Até 10.000;1
3553302;Tambaú;RA de Campinas;4;14;São João da Boa Vista; 22.803 ;De 10.001 a 50.000;2
3553401;Tanabi;RA de São José do Rio Preto;14;15;São José do Rio Preto; 25.105 ;De 10.001 a 50.000;2
3553500;Tapiraí;RA de Sorocaba;13;6;Sorocaba; 7.699 ;Até 10.000;1
3553609;Tapiratiba;RA de Campinas;4;14;São João da Boa Vista; 12.610 ;De 10.001 a 50.000;2
3553658;Taquaral;RA de Ribeirão Preto;11;16;Barretos; 2.751 ;Até 10.000;1
3553708;Taquaritinga;RA Central;5;8;Araraquara; 54.499 ;De 50.001 a 100.000;3
3553807;Taquarituba;RA de Itapeva;7;12;Bauru; 23.193 ;De 10.001 a 50.000;2
3553856;Taquarivaí;RA de Itapeva;7;6;Sorocaba; 5.746 ;Até 10.000;1
3553906;Tarabai;RA de Presidente Prudente;9;2;Presidente Prudente; 7.269 ;Até 10.000;1
3553955;Tarumã;RA de Marília;8;5;Marília; 14.806 ;De 10.001 a 50.000;2
3554003;Tatuí;RA de Sorocaba;13;6;Sorocaba; 120.123 ;De 100.001 a 500.000;4
3554102;Taubaté;RA de São José dos Campos;15;17;Taubaté; 307.361 ;De 100.001 a 500.000;4
3554201;Tejupá;RA de Itapeva;7;12;Bauru; 4.697 ;Até 10.000;1
3554300;Teodoro Sampaio;RA de Presidente Prudente;9;2;Presidente Prudente; 22.414 ;De 10.001 a 50.000;2
3554409;Terra Roxa;RA de Barretos;2;16;Barretos; 9.121 ;Até 10.000;1
3554508;Tietê;RA de Sorocaba;13;6;Sorocaba; 41.073 ;De 10.001 a 50.000;2
3554607;Timburi;RA de Marília;8;5;Marília; 2.557 ;Até 10.000;1
3554656;Torre de Pedra;RA de Sorocaba;13;12;Bauru; 2.320 ;Até 10.000;1
3554706;Torrinha;RA de Campinas;4;12;Bauru; 9.713 ;Até 10.000;1
3554755;Trabiju;RA Central;5;8;Araraquara; 1.703 ;Até 10.000;1
3554805;Tremembé;RA de São José dos Campos;15;17;Taubaté; 45.978 ;De 10.001 a 50.000;2
3554904;Três Fronteiras;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.547 ;Até 10.000;1
3554953;Tuiuti;RA de Campinas;4;3;Campinas; 6.557 ;Até 10.000;1
3555000;Tupã;RA de Marília;8;5;Marília; 62.843 ;De 50.001 a 100.000;3
3555109;Tupi Paulista;RA de Presidente Prudente;9;2;Presidente Prudente; 14.878 ;De 10.001 a 50.000;2
3555208;Turiúba;RA de Araçatuba;1;7;Araçatuba; 1.912 ;Até 10.000;1
3555307;Turmalina;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.805 ;Até 10.000;1
3555356;Ubarana;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.066 ;Até 10.000;1
3555406;Ubatuba;RA de São José dos Campos;15;17;Taubaté; 88.916 ;De 50.001 a 100.000;3
3555505;Ubirajara;RA de Bauru;3;5;Marília; 4.663 ;Até 10.000;1
3555604;Uchoa;RA de São José do Rio Preto;14;15;São José do Rio Preto; 9.683 ;Até 10.000;1
3555703;União Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.739 ;Até 10.000;1
3555802;Urânia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.611 ;Até 10.000;1
3555901;Uru;RA de Bauru;3;12;Bauru; 1.207 ;Até 10.000;1
3556008;Urupês;RA de São José do Rio Preto;14;15;São José do Rio Preto; 13.164 ;De 10.001 a 50.000;2
3556107;Valentim Gentil;RA de São José do Rio Preto;14;15;São José do Rio Preto; 12.770 ;De 10.001 a 50.000;2
3556206;Valinhos;RA de Campinas;4;3;Campinas; 124.742 ;De 100.001 a 500.000;4
3556305;Valparaíso;RA de Araçatuba;1;7;Araçatuba; 23.988 ;De 10.001 a 50.000;2
3556354;Vargem;RA de Campinas;4;3;Campinas; 10.000 ;Até 10.000;1
3556404;Vargem Grande do Sul;RA de Campinas;4;14;São João da Boa Vista; 41.501 ;De 10.001 a 50.000;2
3556453;Vargem Grande Paulista;RM de São Paulo;10;10;Grande São Paulo; 52.762 ;De 50.001 a 100.000;3
3556503;Várzea Paulista;RA de Campinas;4;3;Campinas; 120.535 ;De 100.001 a 500.000;4
3556602;Vera Cruz;RA de Marília;8;5;Marília; 10.524 ;De 10.001 a 50.000;2
3556701;Vinhedo;RA de Campinas;4;3;Campinas; 77.521 ;De 50.001 a 100.000;3
3556800;Viradouro;RA de Barretos;2;16;Barretos; 18.347 ;De 10.001 a 50.000;2
3556909;Vista Alegre do Alto;RA de Barretos;2;16;Barretos; 8.014 ;Até 10.000;1
3556958;Vitória Brasil;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.760 ;Até 10.000;1
3557006;Votorantim;RA de Sorocaba;13;6;Sorocaba; 119.824 ;De 100.001 a 500.000;4
3557105;Votuporanga;RA de São José do Rio Preto;14;15;São José do Rio Preto; 91.760 ;De 50.001 a 100.000;3
3557154;Zacarias;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.560 ;Até 10.000;1
3557204;Chavantes;RA de Marília;8;5;Marília; 12.223 ;De 10.001 a 50.000;2
3557303;Estiva Gerbi;RA de Campinas;4;14;São João da Boa Vista; 11.079 ;De 10.001 a 50.000;2
