nome_munic;codigo_ibge;datahora;casos;obitos
Taubaté;3554102;2020-05-01;   40;   4
Terra Roxa;3554409;2020-05-01;    2;   0
Tietê;3554508;2020-05-01;    1;   0
Timburi;3554607;2020-05-01;    1;   0
Tuiuti;3554953;2020-05-01;    1;   0
Tupã;3555000;2020-05-01;    3;   1
Tupi Paulista;3555109;2020-05-01;    3;   0
Ubatuba;3555406;2020-05-01;   13;   0
Valinhos;3556206;2020-05-01;   26;   3
Vargem;3556354;2020-05-01;    1;   0
Vargem Grande do Sul;3556404;2020-05-01;    1;   0
Vargem Grande Paulista;3556453;2020-05-01;   14;   3
Várzea Paulista;3556503;2020-05-01;   14;   2
Vinhedo;3556701;2020-05-01;   33;   2
Vista Alegre do Alto;3556909;2020-05-01;    1;   0
Votorantim;3557006;2020-05-01;   14;   2
Votuporanga;3557105;2020-05-01;   19;   0
Chavantes;3557204;2020-05-01;    1;   0
Estiva Gerbi;3557303;2020-05-01;    1;   0
Ignorado;9999999;2020-05-01;   16;   5
