Ano;Trimestre;Data do Anúncio;Empresa alvo do investimento;Empresa(s) investidora(s);Real (em milhões);Dólar (em milhões);Valor Informado;Município;Região;Descrição do investimento;CNAE Empresa alvo do investimento;CNAE Empresa(s) investidora(s);Tipo Investimento;Período
"2020";"1";"29/01/2020";"Coco Bambu";"CB RP Comércio de Alimentos";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Abertura restaurante no Shopping Iguatemi de Rio Preto";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Implantação";"2020 - 2020"
"2020";"1";"29/01/2020";"Lacoste";"Devanlay Ventures do Brasil Comércio Importação e Exportação Participações";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Abertura loja no Shopping Iguatemi de Rio Preto";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"4642-7 - Comércio atacadista de artigos do vestuário e acessórios";"Implantação";"2020 - 2020"
"2020";"1";"29/01/2020";"Sanshi";"Sanshi Asian Food";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Abertura restaurante no Shopping Cidade Norte";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Implantação";"2019 - 2020"
"2020";"1";"29/01/2020";"Motorola";"Motorola Mobility Comércio de Produtos Eletrônicos";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Abertura loja no Riopreto Shopping Center";"4752-1 - Comércio varejista especializado de equipamentos de telefonia e comunicação";"4652-4 - Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação";"Implantação";"2020 - 2020"
"2020";"1";"29/01/2020";"New Era";"New Era";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Abertura loja no Riopreto Shopping Center";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"4781-4 - Comércio varejista de artigos do vestuário e acessórios";"Implantação";"2019 - 2019"
"2020";"1";"04/02/2020";"GasBrasiliano";"Gas Brasiliano Distribuidora";"9,00";"2,07";"Sim";"São José do Rio Preto";"RA São José do Rio Preto";"Construção rede de distribuição de gás natural canalizado";"3520-4 - Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas";"3520-4 - Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas";"Ampliação";"2020 - 2021"
"2020";"1";"29/01/2020";"Brincar";"Brincar";"...";"...";"Não";"São José do Rio Preto";"RA São José do Rio Preto";"Abertura loja no Riopreto Shopping Center";"4763-6 - Comércio varejista de artigos recreativos e esportivos";"4763-6 - Comércio varejista de artigos recreativos e esportivos";"Implantação";"2019 - 2019"
"2020";"1";"19/02/2020";"Constroeste";"Constroeste Construtora e Participações";"23,00";"5,30";"Sim";"São José do Rio Preto";"RA São José do Rio Preto";"Construção hospital na região norte de Rio Preto";"8610-1 - Atividades de atendimento hospitalar";"4211-1 - Construção de rodovias e ferrovias";"Implantação";"2020 - ..."
"2020";"1";"05/03/2020";"Tietê Agroindustrial";"Tietê Agroindustrial";"...";"...";"Não";"Ubarana";"RA São José do Rio Preto";"Construção fábrica de açúcar";"1071-6 - Fabricação de açúcar em bruto";"0113-0 - Cultivo de cana-de-açúcar";"Ampliação";"2020 - 2020"
"2020";"1";"14/01/2020";"Super Muffato";"Irmãos Muffato Cia.";"15,00";"3,62";"Sim";"Votuporanga";"RA São José do Rio Preto";"Inauguração supermercado de mercadorias em geral";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"Implantação";"2020 - 2020"
"2020";"1";"18/02/2020";"Wyndham Ilhabela Casa di Sirena";"TC Operações Turísticas";"...";"...";"Não";"Ilhabela";"RA São José dos Campos";"Abertura Resort Premium de Padrão Internacional";"5510-8 - Hotéis e similares";"7990-2 - Serviços de reservas e outros serviços de turismo não especificados anteriormente";"Implantação";"2019 - 2020"
"2020";"1";"07/01/2020";"Havan";"Havan Lojas de Departamentos";"40,00";"9,64";"Sim";"Jacareí";"RA São José dos Campos";"Abertura loja de departamentos.";"4713-0 - Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios";"4757-1 - Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação";"Implantação";"2019 - 2020"
"2020";"1";"30/01/2020";"Meritor";"Meritor do Brasil Sistemas Automotivos";"200,00";"48,20";"Sim";"Roseira";"RA São José dos Campos";"Construção fábrica de peças automotivas";"2949-2 - Fabricação de peças e acessórios para veículos automotores não especificados anteriormente";"2949-2 - Fabricação de peças e acessórios para veículos automotores não especificados anteriormente";"Implantação";"2020 - 2021"
"2020";"1";"03/02/2020";"Cafe de la Musique";"Cafe de la Musique";"...";"...";"Não";"Ubatuba";"RA São José dos Campos";"Abertura restaurante e beach club na Prainha do Matarazzo";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas";"Implantação";"2019 - 2019"
"2020";"1";"14/03/2020";"CCR ViaOeste";"Concessionária de Rodovias do Oeste de São Paulo - ViaOeste";"1,90";"0,39";"Sim";"Alumínio";"RA Sorocaba";"Implantação passarela no Km75+800 ou 76";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"Implantação";"2020 - 2020"
"2020";"1";"23/01/2020";"Rede Bom Lugar";"Rede Bom Lugar";"...";"...";"Não";"Mairinque";"RA Sorocaba";"Inauguração posto de combustível da rede";"4731-8 - Comércio varejista de combustíveis para veículos automotores";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2019 - 2019"
"2020";"1";"01/02/2020";"Zucca Alimentos";"Zucca Alimentos";"3,00";"0,69";"Sim";"Salto";"RA Sorocaba";"Ampliação infraestrutura para aumento de produção";"1032-5 - Fabricação de conservas de legumes e outros vegetais";"1032-5 - Fabricação de conservas de legumes e outros vegetais";"Ampliação";"2019 - 2021"
"2020";"1";"19/02/2020";"Catarina Fashion Outlet";"JHSF Malls / XP Malls Fundo de Investimento Imobiliário";"170,00";"39,16";"Sim";"São Roque";"RA Sorocaba";"Ampliação Shopping Center que aumentará sua área de venda para 70 mil m²";"6822-6 - Gestão e administração da propriedade imobiliária";"6810-2 - Atividades imobiliárias de imóveis próprios / 6470-1 - Fundos de investimento";"Ampliação";"2020 - 2020"
"2020";"1";"23/01/2020";"Supermercados São Vicente";"Supermercados Cavicchiolli";"...";"...";"Não";"Sorocaba";"RA Sorocaba";"Inauguração supermercado da rede";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados";"Implantação";"2019 - 2020"
"2020";"1";"22/02/2020";"Andra Materiais Elétricos";"Elétrica Comercial Andra";"...";"...";"Não";"Sorocaba";"RA Sorocaba";"Inauguração loja de materiais elétricos com showroom";"4742-3 - Comércio varejista de material elétrico";"4742-3 - Comércio varejista de material elétrico";"Implantação";"2019 - 2020"
"2020";"1";"16/01/2020";"Azul Linhas Aéreas";"Azul Linhas Aéreas Brasileiras";"...";"...";"Não";"Barueri";"RM São Paulo";"Compra aeronave(s) da Embraer, 75 unidades";"5111-1 - Transporte aéreo de passageiros regular";"5111-1 - Transporte aéreo de passageiros regular";"Ampliação";"2020 - 2024"
"2020";"1";"20/01/2020";"Instituto Gastronômico das Américas - IGA";"Instituto Gastronômico de Cabo Frio";"0,60";"0,14";"Sim";"Mauá";"RM São Paulo";"Inauguração franquia da rede de escolas de gastronomia e confeitaria";"8599-6 - Atividades de ensino não especificadas anteriormente";"8599-6 - Atividades de ensino não especificadas anteriormente";"Implantação";"2019 - 2020"
